ResultID,Node2_x,Node2_y,MaxAxialForce,MaxStress,SumOfSxC,MaxSxC
1,0.125,-1.999,1.0916033161824172,1.0916033161824172,438.8820410205103,456.8381077352699
2,0.125,-1.997,1.0917791733363598,1.0917791733363598,438.5211817726589,456.49375842449706
3,0.125,-1.995,1.0919555311996796,1.0919555311996796,438.1604010025062,456.14951675560627
4,0.125,-1.993,1.0921323916540882,1.0921323916540882,437.799698946312,455.8053830390236
5,0.125,-1.991,1.0923097565900612,1.0923097565900612,437.4390758412858,455.4613575863664
6,0.125,-1.989,1.0924876279068827,1.0924876279068827,437.07853192559077,455.1174407104467
7,0.125,-1.987,1.0926660075126984,1.0926660075126984,436.7180674383493,454.773632725279
8,0.125,-1.985,1.092844897324563,1.092844897324563,436.35768261964745,454.42993394608504
9,0.125,-1.983,1.0930242992684887,1.0930242992684887,435.9973777105396,454.08634468929927
10,0.125,-1.981,1.0932042152794967,1.0932042152794967,435.63715295305394,453.7428652725754
11,0.125,-1.979,1.093384647301668,1.093384647301668,435.27700859019706,453.3994960147922
12,0.125,-1.977,1.093565597288191,1.093565597288191,434.9169448659585,453.0562372360589
13,0.125,-1.975,1.0937470672014151,1.0937470672014151,434.55696202531647,452.7130892577216
14,0.125,-1.973,1.0939290590129007,1.0939290590129007,434.19706031424226,452.3700524023692
15,0.125,-1.971,1.0941115747034713,1.0941115747034713,433.83723997970577,452.0271269938391
16,0.125,-1.969,1.0942946162632645,1.0942946162632645,433.47750126968015,451.6843133572235
17,0.125,-1.967,1.0944781856917847,1.0944781856917847,433.11784443314696,451.34161181887544
18,0.125,-1.965,1.0946622849979555,1.0946622849979555,432.7582697201017,450.9990227064148
19,0.125,-1.963,1.0948469162001733,1.0948469162001733,432.39877738155883,450.65654634873505
20,0.125,-1.961,1.095032081326359,1.095032081326359,432.0393676695563,450.31418307600813
21,0.125,-1.959,1.095217782414013,1.095217782414013,431.68004083716187,449.97193321969246
22,0.125,-1.957,1.0954040215102678,1.0954040215102678,431.32079713847736,449.62979711253723
23,0.125,-1.955,1.0955908006719435,1.0955908006719435,430.9616368286445,449.2877750885902
24,0.125,-1.953,1.0957781219656015,1.0957781219656015,430.6025601638504,448.9458674832038
25,0.125,-1.951,1.0959659874676007,1.0959659874676007,430.2435674013327,448.60407463304074
26,0.125,-1.949,1.0961543992641503,1.0961543992641503,429.8846587993843,448.2623968760811
27,0.125,-1.947,1.0963433594513683,1.0963433594513683,429.5258346173601,447.92083455162856
28,0.125,-1.945,1.0965328701353356,1.0965328701353356,429.16709511568115,447.5793880003167
29,0.125,-1.943,1.0967229334321544,1.0967229334321544,428.80844055584146,447.23805756411645
30,0.125,-1.941,1.0969135514680026,1.0969135514680026,428.44987120041213,446.896843586341
